brand_hybrid,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean
AgriGold-A6408VT3PRIB,223.541,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6416STXRIB,221.4092,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6442STXRIB,229.2138,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6462STX,219.1585,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6499STXRIB,223.9404,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6533VT3PRIB,227.0549,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6559STXRIB,225.3753,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-5852D2,230.5056,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5131AMXT™*,228.8324,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5828AMX™*,243.026,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5939AMXT™*,235.7931,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6175AMXT™*,238.2197,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6365AMX™*,240.4902,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-6T54 3000GT,219.7663,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-XP 5008 3122,224.2101,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Catalyst-4685 3111,213.4945,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-202-64STXRIB,223.5236,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-209-53STXRIB,241.6468,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-211-24STXRIB,244.074,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C574SS,237.5566,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C576SS,235.4216,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C594VT3P,224.5753,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C602SS,234.4334,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C621SS,243.4373,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C655-3000GT,222.7285,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C733SS,232.9924,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C744SS,234.9544,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC60-67RIB,251.9776,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-08RIB,215.2567,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-77RIB,230.9688,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC63-33RIB,242.1251,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC64-87RIB,233.3764,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D46SS46,245.6399,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D48SS38,232.6574,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D50SS43,235.5098,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Hughes-5456 3000GT,239.2636,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 54ZX1 RIB,225.7276,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 56VX1 RIB,243.4083,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 57QX1 RIB,229.9603,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 60ZX1 RIB,231.2416,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1406G - 14,224.6749,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1407D - 14,237.2215,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1408F - 15,242.4698,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1504D - 14,228.7804,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1508P - 12,210.5737,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Miller-M01-41BRGA,240.4589,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Miller-M07-65BRGV,231.4044,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
