"Company","brand_hybrid","sheet","Location","Yield"
"AgriGold","A6408VT3PRIB","northtbl14.xls","DeKalb",223.541
"AgriGold","A6408VT3PRIB","northtbl14.xls","Erie",244.4754
"AgriGold","A6408VT3PRIB","northtbl14.xls","Mt.Morris",221.4666
"AgriGold","A6416STXRIB","northtbl14.xls","DeKalb",221.4092
"AgriGold","A6416STXRIB","northtbl14.xls","Erie",266.9804
"AgriGold","A6416STXRIB","northtbl14.xls","Mt.Morris",235.1366
"AgriGold","A6442STXRIB","northtbl14.xls","DeKalb",229.2138
"AgriGold","A6442STXRIB","northtbl14.xls","Erie",261.0302
"AgriGold","A6442STXRIB","northtbl14.xls","Mt.Morris",226.38
"AgriGold","A6442STXRIB","southtbl14.xls","Belleville",223.1972
"AgriGold","A6442STXRIB","southtbl14.xls","St.Peter",211.131
"AgriGold","A6442STXRIB","westtbl14.xls","Monmouth",252.4938
"AgriGold","A6442STXRIB","westtbl14.xls","Perry",239.6879
"AgriGold","A6462STX","easttbl14.xls","Dwight",263.9848
"AgriGold","A6462STX","easttbl14.xls","Goodfield",267.2831
"AgriGold","A6462STX","easttbl14.xls","Urbana",254.1333
"AgriGold","A6462STX","northtbl14.xls","DeKalb",219.1585
"AgriGold","A6462STX","northtbl14.xls","Erie",258.2374
"AgriGold","A6462STX","northtbl14.xls","Mt.Morris",221.4602
"AgriGold","A6462STX","westtbl14.xls","Monmouth",254.0839
"AgriGold","A6462STX","westtbl14.xls","Perry",215.026
"AgriGold","A6472VT3PRIB","easttbl14.xls","Dwight",246.0425
"AgriGold","A6472VT3PRIB","easttbl14.xls","Goodfield",265.2037
"AgriGold","A6472VT3PRIB","easttbl14.xls","Urbana",241.7439
"AgriGold","A6472VT3PRIB","southtbl14.xls","Belleville",230.103
"AgriGold","A6472VT3PRIB","southtbl14.xls","St.Peter",194.3217
"AgriGold","A6472VT3PRIB","westtbl14.xls","Monmouth",241.9718
"AgriGold","A6472VT3PRIB","westtbl14.xls","Perry",243.2758
"AgriGold","A6492STX","easttbl14.xls","Dwight",245.9231
"AgriGold","A6492STX","easttbl14.xls","Goodfield",260.2595
"AgriGold","A6492STX","easttbl14.xls","Urbana",247.5383
"AgriGold","A6499STXRIB","easttbl14.xls","Dwight",265.247
"AgriGold","A6499STXRIB","easttbl14.xls","Goodfield",266.1967
"AgriGold","A6499STXRIB","easttbl14.xls","Urbana",254.5721
"AgriGold","A6499STXRIB","northtbl14.xls","DeKalb",223.9404
"AgriGold","A6499STXRIB","northtbl14.xls","Erie",257.3897
"AgriGold","A6499STXRIB","northtbl14.xls","Mt.Morris",218.915
"AgriGold","A6499STXRIB","southtbl14.xls","Belleville",248.4956
"AgriGold","A6499STXRIB","southtbl14.xls","St.Peter",193.4297
"AgriGold","A6499STXRIB","westtbl14.xls","Monmouth",261.0886
"AgriGold","A6499STXRIB","westtbl14.xls","Perry",250.2135
"AgriGold","A6533VT3PRIB","easttbl14.xls","Dwight",253.7264
"AgriGold","A6533VT3PRIB","easttbl14.xls","Goodfield",264.9705
"AgriGold","A6533VT3PRIB","easttbl14.xls","Urbana",243.1878
"AgriGold","A6533VT3PRIB","northtbl14.xls","DeKalb",227.0549
"AgriGold","A6533VT3PRIB","northtbl14.xls","Erie",257.7478
"AgriGold","A6533VT3PRIB","northtbl14.xls","Mt.Morris",213.7378
"AgriGold","A6533VT3PRIB","southtbl14.xls","Belleville",249.4197
"AgriGold","A6533VT3PRIB","southtbl14.xls","St.Peter",200.4044
"AgriGold","A6533VT3PRIB","westtbl14.xls","Monmouth",246.3719
"AgriGold","A6533VT3PRIB","westtbl14.xls","Perry",236.5026
"AgriGold","A6559STXRIB","easttbl14.xls","Dwight",248.5854
"AgriGold","A6559STXRIB","easttbl14.xls","Goodfield",260.7873
"AgriGold","A6559STXRIB","easttbl14.xls","Urbana",249.8559
"AgriGold","A6559STXRIB","northtbl14.xls","DeKalb",225.3753
"AgriGold","A6559STXRIB","northtbl14.xls","Erie",244.2241
"AgriGold","A6559STXRIB","northtbl14.xls","Mt.Morris",232.0982
"AgriGold","A6559STXRIB","southtbl14.xls","Belleville",247.0479
"AgriGold","A6559STXRIB","southtbl14.xls","St.Peter",184.7361
"AgriGold","A6559STXRIB","westtbl14.xls","Monmouth",247.1647
"AgriGold","A6559STXRIB","westtbl14.xls","Perry",239.9116
"AgriGold","A6659VT3PRIB","southtbl14.xls","Belleville",264.483
"AgriGold","A6659VT3PRIB","southtbl14.xls","St.Peter",185.0507
"Beck","5852D2","northtbl14.xls","DeKalb",230.5056
"Beck","5852D2","northtbl14.xls","Erie",231.8611
"Beck","5852D2","northtbl14.xls","Mt.Morris",215.6391
"Beck","6347VR","southtbl14.xls","Belleville",246.2876
"Beck","6347VR","southtbl14.xls","St.Peter",199.6918
"Beck","XL 5131AMXT™*","northtbl14.xls","DeKalb",228.8324
"Beck","XL 5131AMXT™*","northtbl14.xls","Erie",258.2157
"Beck","XL 5131AMXT™*","northtbl14.xls","Mt.Morris",236.6019
