Brand-Hybrid,YIELD,Location
AGRIGOLD-A6499STXRIB,193.1298456,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
AGRIGOLD-A6517VT3PRIB,185.8802832,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
AGRIGOLD-A6553VT3PRIB,172.3378404,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
B-H GENETICS-BH 8550SS,147.3037612,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
B-H GENETICS-BH 8688DG2P,165.2990757,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
B-H GENETICS-BH 8700SS,173.0122907,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
B-H GENETICS-XP 7810VT2P,167.153564,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
DEKALB-DKC53-78 SSRIB,155.0098926,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
DEKALB-DKC61-89 RIB,167.3946597,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
DEKALB-DKC64-69 GENVT3P,177.8190025,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN ACRES-G4598,160.5429161,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN ACRES-G5621,187.1778974,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN HARVEST-G07B39-3111A,155.6674262,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN HARVEST-G11U58-3111,167.4332187,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN HARVEST-G13N18-3111,175.9450317,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN HARVEST-G14H66-5122A,148.7000054,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
GOLDEN HARVEST-G16K01-3111,147.9891712,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MAT CHECK-LATE,126.7400051,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MAT CHECK-MED,161.266203,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-425SS,158.8227757,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-534PRW,175.8399075,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-573PRW,171.6341278,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-594PR DG,181.5064671,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-653PRW,172.3833914,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-714PRW,160.3635149,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MIDLAND-735PRW,187.2208938,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MYCOGEN-2C788,167.6605143,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MYCOGEN-2G685,162.062321,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MYCOGEN-2V709,187.1312206,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
MYCOGEN-2V717,174.5934349,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF053 VT2Pro,166.257776,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF082 VT3Pro,170.8272286,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF112 VT3Pro,158.3085195,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF121 VT3Pro,186.3487014,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF133DGVT2Pro,173.5158104,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF141 SS,176.4195112,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PHILLIPS-PSF143 VT2Pro,189.3323346,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PRODUCERS-6108STXRIB,137.4001687,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PRODUCERS-6424VT3PRIB,172.4320976,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PRODUCERS-6624VT3PRIB,154.7238577,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
PRODUCERS-7014VT3PRIB,151.6710831,"2014 Belleville, Kansas Dryland Corn Performance Test, Republic County"
AGRIGOLD-A6408VT3PRIB,76.15087511,"2014 Assaria, Kansas Dryland Corn Performance Test, Saline County"
AGRIGOLD-A6499STXRIB,124.6076631,"2014 Assaria, Kansas Dryland Corn Performance Test, Saline County"
