Brand-Hybrid,Yield,Location,,,
Lewis R1414VT2P,202.2,"Craig, Missouri",,,
Midland 714PRW,217.0*,"Craig, Missouri",,,
MFA MorCorn XP-604DGVT2P,210.2*,"Craig, Missouri",,,
Midland 534PRW,194.9,"Craig, Missouri",,,
Channel 213-57 VT2PRIB Brand Blend,203.9,"Craig, Missouri",,,
Syngenta NK Seeds NK N74R-3000GT,199.0,"Craig, Missouri",,,
Producers Hybrids 7268STXRIB,201.7,"Craig, Missouri",,,
Golden Acres G4598,210.9*,"Craig, Missouri",,,
AgriGold A6559VT2RIB,210.1*,"Craig, Missouri",,,
Midland 594PR DG,203.8,"Craig, Missouri",,,
AgriGold A6499STXRIB,208.4*,"Craig, Missouri",,,
Golden Harvest G16K01-3111,204.0,"Craig, Missouri",,,
Golden Harvest G10S30-3110,206.7*,"Craig, Missouri",,,
Channel 210-93 VT2PRIB Brand Blend,190.3,"Craig, Missouri",,,
Channel 217-07VT2PRIB Brand Blend,197.3,"Craig, Missouri",,,
Green Valley Seed GV8332VT2Pro,197.1,"Craig, Missouri",,,
LG Seeds LG5618STXRIB,200.5,"Craig, Missouri",,,
Merschman Seeds M - 1314D - 16,209.0*,"Craig, Missouri",,,
NuTech/G2 Genetics 5Z-111,190.5,"Craig, Missouri",,,
NuTech/G2 Genetics 3F-515,190.9,"Craig, Missouri",,,
Producers Hybrids 7633VT2RIBD1,200.7,"Craig, Missouri",,,
MFA MorCorn XP-605SmartStax,205.4*,"Craig, Missouri",,,
MFA MorCorn XP-606DGVT2P,210.6*,"Craig, Missouri",,,
Channel 215-52 VT3PRIB Brand Blend,202.4,"Craig, Missouri",,,
Merschman Seeds M - 1413K - 16,201.5,"Craig, Missouri",,,
Midland 624PRW,212.9*,"Craig, Missouri",,,
Producers Hybrids 7014VT3PRIB,199.4,"Craig, Missouri",,,
Dekalb DKC61-89GENVT2PRIB,196.2,"Craig, Missouri",,,
Mycogen 2V717,194.9,"Craig, Missouri",,,
LG Seeds LG5622STX,205.3,"Craig, Missouri",,,
LG Seeds LG5607VT2PRIB,193.0,"Craig, Missouri",,,
Syngenta NK Seeds NK N70J-3011A,184.6,"Craig, Missouri",,,
MFA MorCorn MC3859SmartStaxRIB,202.6,"Craig, Missouri",,,
Merschman Seeds M - 1212K - 17,205.3,"Craig, Missouri",,,
Merschman Seeds M - 1213F - 16,185.4,"Craig, Missouri",,,
AgriGold A6533VT3PRIB,191.5,"Craig, Missouri",,,
MFA MorCorn MC4344VT2PRIB,206.2*,"Craig, Missouri",,,
Golden Acres G5621,191.7,"Craig, Missouri",,,
MFA MorCorn MC3544VT2PRIB,200.1,"Craig, Missouri",,,
Lewis R1409VT2P,205.1,"Craig, Missouri",,,
Dekalb DKC65-79GENSSRIB,191.5,"Craig, Missouri",,,
Merschman Seeds M - 1408F - 15,221.7**,"Craig, Missouri",,,
Dekalb DKC62-98GENVT2PRIB,208.7*,"Craig, Missouri",,,
Dyna-Gro D52VC91,178.9,"Craig, Missouri",,,
NuTech/G2 Genetics 5F-709,214.3*,"Craig, Missouri",,,
Green Valley Seed GV8242VT2ProRIB,207.1*,"Craig, Missouri",,,
Midland 573PRW,185.9,"Craig, Missouri",,,
Midland 735PRW,200.7,"Craig, Missouri",,,
MFA MorCorn XP-603SmartStax,189.9,"Craig, Missouri",,,
ProHarvest 8330VT2P RIB,198.3,"Craig, Missouri",,,
FS InVISION FS 62SX1 RIB,189.8,"Craig, Missouri",,,
ProHarvest  8388VT2P RIB,207.1*,"Craig, Missouri",,,
NuTech/G2 Genetics 3F-814,206.0*,"Craig, Missouri",,,
Producers Hybrids 7414VT3PRIB,196.9,"Craig, Missouri",,,
Mycogen 2C799,194.9,"Craig, Missouri",,,
NuTech/G2 Genetics 5F-811,203.8,"Craig, Missouri",,,
Dekalb DKC64-69GENSSRIB,203.2,"Craig, Missouri",,,
Green Valley Seed GV8142VT2Pro,194.9,"Craig, Missouri",,,
AgriGold A6442STXRIB,198.5,"Craig, Missouri",,,
Golden Harvest G09E98-3000GT,189.2,"Craig, Missouri",,,
FS InVISION FS 64MX1 RIB,207.9*,"Craig, Missouri",,,
Channel 213-37 VT2PRIB Brand Blend,193.0,"Craig, Missouri",,,
NuTech/G2 Genetics 5H-216,212.7*,"Craig, Missouri",,,
NuTech/G2 Genetics 5F-113,210.1*,"Craig, Missouri",,,
NuTech/G2 Genetics 5H-806,184.5,"Craig, Missouri",,,
Merschman Seeds M - 1311R - 17,190.1,"Craig, Missouri",,,
Dekalb DKC57-75RIB,202.6,"Craig, Missouri",,,
MFA MorCorn MC4154VT2PRIB,203.7,"Craig, Missouri",,,
MFA MorCorn MC4354VT2PRIB,199.0,"Craig, Missouri",,,
Lewis R1312SS,200.2,"Craig, Missouri",,,
FS InVISION FS 61JX1 RIB,196.9,"Craig, Missouri",,,
Dyna-Gro D51VP32,196.2,"Craig, Missouri",,,
Golden Harvest G07F23-3111,179.6,"Craig, Missouri",,,
Mycogen 2C788,187.0,"Craig, Missouri",,,
Mycogen 2V709,188.3,"Craig, Missouri",,,
Dekalb DKC60-55GENDGVT2PRIB,196.8,"Craig, Missouri",,,
Producers Hybrids 7574VT3PRIB,190.5,"Craig, Missouri",,,
Midland 344PRW,193.4,"Craig, Missouri",,,
FS InVISION FS 60ZX1 RIB,188.6,"Craig, Missouri",,,
AgriGold A6472VT3PRIB,186.1,"Craig, Missouri",,,
Midland 653PRW,193.2,"Craig, Missouri",,,
FS InVISION FS 63SX1 RIB,190.4,"Craig, Missouri",,,
Lewis R1511SS,183.1,"Craig, Missouri",,,
Producers Hybrids 7213VT2RIB,182.9,"Craig, Missouri",,,
Dekalb DKC63-55GENDGVT2PRIB,181.5,"Craig, Missouri",,,
AgriGold A6458VT3PRIB,186.9,"Craig, Missouri",,,
ProHarvest 8110VT2P RIB,188.0,"Craig, Missouri",,,
Golden Acres G1518,185.0,"Craig, Missouri",,,
NuTech/G2 Genetics 5Z-707,181.8,"Craig, Missouri",,,
LG Seeds LG5579VT3PRIB,188.9,"Craig, Missouri",,,
MFA MorCorn XP-617SmartStax,187.1,"Craig, Missouri",,,
Mycogen 2V779,182.0,"Craig, Missouri",,,
Merschman Seeds M - 1409F - 17,178.4,"Craig, Missouri",,,
Merschman Seeds M - 1508P - 12,181.4,"Craig, Missouri",,,
Lewis R1414VT2P,257.1**,"Albany, Missouri",,,
Midland 714PRW,242.2,"Albany, Missouri",,,
MFA MorCorn XP-604DGVT2P,247.7*,"Albany, Missouri",,,
Midland 534PRW,245.5*,"Albany, Missouri",,,
Channel 213-57 VT2PRIB Brand Blend,250.2*,"Albany, Missouri",,,
Syngenta NK Seeds NK N74R-3000GT,240.6,"Albany, Missouri",,,
Producers Hybrids 7268STXRIB,244.9*,"Albany, Missouri",,,
Golden Acres G4598,240.2,"Albany, Missouri",,,
AgriGold A6559VT2RIB,245.5*,"Albany, Missouri",,,
Midland 594PR DG,238.0,"Albany, Missouri",,,
AgriGold A6499STXRIB,243.6*,"Albany, Missouri",,,
Golden Harvest G16K01-3111,241.7,"Albany, Missouri",,,
Golden Harvest G10S30-3110,228.6,"Albany, Missouri",,,
Channel 210-93 VT2PRIB Brand Blend,242.8,"Albany, Missouri",,,
Channel 217-07VT2PRIB Brand Blend,240.6,"Albany, Missouri",,,
Green Valley Seed GV8332VT2Pro,244.9*,"Albany, Missouri",,,
LG Seeds LG5618STXRIB,253.3*,"Albany, Missouri",,,
Merschman Seeds M - 1314D - 16,248.4*,"Albany, Missouri",,,
NuTech/G2 Genetics 5Z-111,226.9,"Albany, Missouri",,,
NuTech/G2 Genetics 3F-515,222.1,"Albany, Missouri",,,
Producers Hybrids 7633VT2RIBD1,233.8,"Albany, Missouri",,,
MFA MorCorn XP-605SmartStax,246.2*,"Albany, Missouri",,,
MFA MorCorn XP-606DGVT2P,228.1,"Albany, Missouri",,,
Channel 215-52 VT3PRIB Brand Blend,228.6,"Albany, Missouri",,,
Merschman Seeds M - 1413K - 16,234.0,"Albany, Missouri",,,
Midland 624PRW,227.1,"Albany, Missouri",,,
Producers Hybrids 7014VT3PRIB,232.5,"Albany, Missouri",,,
Dekalb DKC61-89GENVT2PRIB,244.1*,"Albany, Missouri",,,
Mycogen 2V717,229.8,"Albany, Missouri",,,
LG Seeds LG5622STX,230.3,"Albany, Missouri",,,
LG Seeds LG5607VT2PRIB,232.1,"Albany, Missouri",,,
Syngenta NK Seeds NK N70J-3011A,243.8*,"Albany, Missouri",,,
MFA MorCorn MC3859SmartStaxRIB,231.2,"Albany, Missouri",,,
Merschman Seeds M - 1212K - 17,235.3,"Albany, Missouri",,,
Merschman Seeds M - 1213F - 16,225.0,"Albany, Missouri",,,
AgriGold A6533VT3PRIB,228.6,"Albany, Missouri",,,
MFA MorCorn MC4344VT2PRIB,234.2,"Albany, Missouri",,,
Golden Acres G5621,218.1,"Albany, Missouri",,,
MFA MorCorn MC3544VT2PRIB,243.1,"Albany, Missouri",,,
Lewis R1409VT2P,238.9,"Albany, Missouri",,,
Dekalb DKC65-79GENSSRIB,220.9,"Albany, Missouri",,,
Merschman Seeds M - 1408F - 15,232.2,"Albany, Missouri",,,
Dekalb DKC62-98GENVT2PRIB,227.3,"Albany, Missouri",,,
Dyna-Gro D52VC91,230.2,"Albany, Missouri",,,
NuTech/G2 Genetics 5F-709,232.5,"Albany, Missouri",,,
Green Valley Seed GV8242VT2ProRIB,236.7,"Albany, Missouri",,,
Midland 573PRW,230.5,"Albany, Missouri",,,
Midland 735PRW,239.3,"Albany, Missouri",,,
MFA MorCorn XP-603SmartStax,228.2,"Albany, Missouri",,,
ProHarvest 8330VT2P RIB,227.8,"Albany, Missouri",,,
FS InVISION FS 62SX1 RIB,229.6,"Albany, Missouri",,,
ProHarvest  8388VT2P RIB,227.3,"Albany, Missouri",,,
NuTech/G2 Genetics 3F-814,234.3,"Albany, Missouri",,,
Producers Hybrids 7414VT3PRIB,230.4,"Albany, Missouri",,,
Mycogen 2C799,236.5,"Albany, Missouri",,,
NuTech/G2 Genetics 5F-811,217.7,"Albany, Missouri",,,
Dekalb DKC64-69GENSSRIB,224.0,"Albany, Missouri",,,
Green Valley Seed GV8142VT2Pro,224.8,"Albany, Missouri",,,
AgriGold A6442STXRIB,223.3,"Albany, Missouri",,,
Golden Harvest G09E98-3000GT,222.9,"Albany, Missouri",,,
FS InVISION FS 64MX1 RIB,229.7,"Albany, Missouri",,,
Channel 213-37 VT2PRIB Brand Blend,222.5,"Albany, Missouri",,,
NuTech/G2 Genetics 5H-216,251.4*,"Albany, Missouri",,,
NuTech/G2 Genetics 5F-113,232.9,"Albany, Missouri",,,
NuTech/G2 Genetics 5H-806,234.3,"Albany, Missouri",,,
Merschman Seeds M - 1311R - 17,229.0,"Albany, Missouri",,,
Dekalb DKC57-75RIB,223.3,"Albany, Missouri",,,
MFA MorCorn MC4154VT2PRIB,226.3,"Albany, Missouri",,,
MFA MorCorn MC4354VT2PRIB,205.7,"Albany, Missouri",,,
Lewis R1312SS,224.7,"Albany, Missouri",,,
FS InVISION FS 61JX1 RIB,230.7,"Albany, Missouri",,,
Dyna-Gro D51VP32,227.6,"Albany, Missouri",,,
Golden Harvest G07F23-3111,226.1,"Albany, Missouri",,,
Mycogen 2C788,227.6,"Albany, Missouri",,,
Mycogen 2V709,235.3,"Albany, Missouri",,,
Dekalb DKC60-55GENDGVT2PRIB,237.6,"Albany, Missouri",,,
Producers Hybrids 7574VT3PRIB,231.2,"Albany, Missouri",,,
Midland 344PRW,227.8,"Albany, Missouri",,,
FS InVISION FS 60ZX1 RIB,231.0,"Albany, Missouri",,,
AgriGold A6472VT3PRIB,234.1,"Albany, Missouri",,,
Midland 653PRW,219.7,"Albany, Missouri",,,
FS InVISION FS 63SX1 RIB,233.3,"Albany, Missouri",,,
Lewis R1511SS,236.4,"Albany, Missouri",,,
Producers Hybrids 7213VT2RIB,225.1,"Albany, Missouri",,,
Dekalb DKC63-55GENDGVT2PRIB,222.2,"Albany, Missouri",,,
AgriGold A6458VT3PRIB,236.2,"Albany, Missouri",,,
ProHarvest 8110VT2P RIB,223.5,"Albany, Missouri",,,
Golden Acres G1518,219.7,"Albany, Missouri",,,
NuTech/G2 Genetics 5Z-707,226.7,"Albany, Missouri",,,
LG Seeds LG5579VT3PRIB,237.4,"Albany, Missouri",,,
MFA MorCorn XP-617SmartStax,226.5,"Albany, Missouri",,,
Mycogen 2V779,220.3,"Albany, Missouri",,,
